LUND,['mc_v9-8GeV-1e-target_photonuclear_47210_t1589612202.root', '822.730kB', 'ec106307', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47251_t1589610639.root', '20.088MB', '92b3605f', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47252_t1589610669.root', '21.784MB', 'cb620995', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47253_t1589610643.root', '20.073MB', '71b7e2bc', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47254_t1589610641.root', '20.110MB', 'd94e5c55', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47255_t1589610664.root', '21.482MB', '0be217c3', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47256_t1589610647.root', '20.662MB', '998e92d2', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47257_t1589610659.root', '21.804MB', 'c98e5d59', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47258_t1589610623.root', '18.217MB', '4a2bd7d8', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47259_t1589610646.root', '20.184MB', '2b8180ab', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47261_t1589610574.root', '21.186MB', '624d3797', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47262_t1589610561.root', '19.356MB', 'a4648709', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47263_t1589610583.root', '21.554MB', '459ea7d2', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
